Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,17,3,0,0.470588235294118,0.176470588235294
4,15,3,0,0.466666666666667,0.2
7,15,1,0,0.333333333333333,0.0666666666666667
9,17,8,0,0.588235294117647,0.470588235294118
10,15,9,1,0.6,0.333333333333333
11,19,1,0,0.473684210526316,0.0526315789473684
14,17,3,0,0.588235294117647,0.176470588235294
17,15,1,0,0.2,0.0666666666666667
23,23,1,0,0.304347826086957,0.0434782608695652
1,15,1,0,0.6,0.0666666666666667
2,19,1,0,0.315789473684211,0.0526315789473684
11,23,7,0,0.434782608695652,0.304347826086957
13,17,3,0,0.294117647058824,0.176470588235294
17,17,3,0,0.470588235294118,0.176470588235294
19,19,11,1,0.578947368421053,0.473684210526316
20,25,2,0,0.44,0.08
22,17,1,0,0.588235294117647,0.0588235294117647
25,17,8,0,0.588235294117647,0.470588235294118
26,19,1,0,0.210526315789474,0.0526315789473684
29,23,4,0,0.304347826086957,0.173913043478261
